Cognome e Nome				Link
ACCIANIÊClaudio				https://www.scopus.com/authid/detail.uri?authorId=54411870600
ADINOLFIÊFelice				https://www.scopus.com/authid/detail.uri?authorId=37039335900
ALTAMOREÊLuca				https://www.scopus.com/authid/detail.uri?authorId=57056385800
AMATOÊMario				https://www.scopus.com/authid/detail.uri?authorId=56784449700
ANNUNZIATAÊAzzurra			http://www.scopus.com/authid/detail.url?authorId=36551038700
ARAGRANDEÊMaurizio			http://www.scopus.com/authid/detail.url?authorId=56657485200
ARATAÊLinda				https://www.scopus.com/authid/detail.uri?authorId=55792608600
ARFINIÊFilippo				http://www.scopus.com/authid/detail.url?authorId=8940528100
ARRUÊBrunella				https://www.scopus.com/authid/detail.uri?authorId=57210612694
ASCIUTOÊAntonio				http://www.scopus.com/authid/detail.url?authorId=35483192800
BACARELLAÊSimona				http://www.scopus.com/authid/detail.uri?authorId=57056493300
BALDIÊLucia				http://www.scopus.com/authid/detail.url?authorId=56235160400
BANTERLEÊAlessandro			http://www.scopus.com/authid/detail.url?authorId=24464719400
BARBIERIÊCinzia				http://www.scopus.com/authid/detail.url?authorId=54381413400
BARTOLINIÊFabio				https://www.scopus.com/authid/detail.uri?authorId=56090460000
BASSIÊIvana				http://www.scopus.com/authid/detail.url?authorId=55935764600
BAZZANIÊClaudia				https://www.scopus.com/authid/detail.uri?authorId=55624806500
BEBERÊCaetano Luiz			https://www.scopus.com/authid/detail.uri?authorId=56086038200
BEGALLIÊDiego				http://www.scopus.com/authid/detail.url?authorId=8947526500
BELLETTIÊGiovanni			http://www.scopus.com/authid/detail.url?authorId=15076703400
BELLETTIÊMatteo				http://www.scopus.com/authid/detail.url?authorId=24553629200
BELLIAÊClaudio				http://www.scopus.com/authid/detail.url?authorId=55365216300
BELLIGGIANOÊAngelo Domenico		http://www.scopus.com/authid/detail.url?authorId=54986237000
BENEDETTOÊGraziella			http://www.scopus.com/authid/detail.url?authorId=55758038100
BENTIVOGLIOÊDeborah			https://www.scopus.com/authid/detail.uri?authorId=55175679100
BERNETTIÊIacopo				http://www.scopus.com/authid/detail.url?authorId=6507189173
BERTAZZOLIÊAldo				http://www.scopus.com/authid/detail.url?authorId=8597955300
BERTONIÊDanilo				http://www.scopus.com/authid/detail.url?authorId=56162385800
BIANCHIÊRosa				http://www.scopus.com/authid/detail.url?authorId=55860222100
BLANCÊSimone				https://www.scopus.com/authid/detail.uri?authorId=57200520427
BLASIÊEmanuele				http://www.scopus.com/authid/detail.url?authorId=55246235300
BOCCALETTIÊStefano			https://www.scopus.com/authid/detail.uri?authorId=57211739943
BOCCIAÊFlavio				http://www.scopus.com/authid/detail.url?authorId=46960948900
BOGGIAÊAntonio				http://www.scopus.com/authid/detail.url?authorId=56411997000
BONAZZIÊGiuseppe				http://www.scopus.com/authid/detail.url?authorId=6603417564
BONCINELLIÊFabio				https://www.scopus.com/authid/detail.uri?authorId=55901718400
BORRAÊDanielle				https://www.scopus.com/authid/detail.uri?authorId=57201290439
BORRELLOÊMassimiliano			https://www.scopus.com/authid/detail.uri?authorId=56784462600
BORSELLINOÊValeria			http://www.scopus.com/authid/detail.url?authorId=14420740200
BOZZOÊFrancesco				http://www.scopus.com/authid/detail.url?authorId=25635150600
BRACCOÊSalvatore				http://www.scopus.com/authid/detail.url?authorId=55620980500
BRUNÊFilippo				http://www.scopus.com/authid/detail.url?authorId=15824967900
BRUNORIÊGianluca				http://www.scopus.com/authid/detail.url?authorId=7003590286
CAMANZIÊLuca				http://www.scopus.com/authid/detail.url?authorId=35721535800
CANALIÊGabriele				http://www.scopus.com/authid/detail.url?authorId=14123145300
CANALIÊMassimo				https://www.scopus.com/authid/detail.uri?authorId=57193141211
CANAVARIÊMaurizio			http://www.scopus.com/authid/detail.url?authorId=12244213400
CAPITANIOÊFabian				http://www.scopus.com/authid/detail.url?authorId=24447950100
CAPITELLOÊRoberta			http://www.scopus.com/authid/detail.url?authorId=8947526600
CARACCIOLO DI TORCHIAROLOÊFrancesco	https://www.scopus.com/authid/detail.uri?authorId=57200742905
CARBONEÊAnna				https://www.scopus.com/authid/detail.uri?authorId=35228379400
CARBONEÊFrancesco			https://www.scopus.com/authid/detail.uri?authorId=57217790923
CARLUCCIÊDomenico			http://www.scopus.com/authid/detail.url?authorId=55600898400
